Wall time,Step,Value
1652830302.3747954,8210,-1.6471692323684692
1652830524.1031296,8255,-1.669050693511963
1652830604.518727,8272,-1.5904964208602905
1652830803.9717898,8314,-1.5204503536224365
1652830868.207443,8326,-1.527657389640808
1652831073.9889925,8366,-1.5984736680984497
1652831775.4241946,8512,-0.29690057039260864
1652831836.7021186,8523,-0.3782486319541931
1652831917.343769,8540,-0.28906992077827454
1652832207.1033561,8598,-1.5650701522827148
1652832319.6947484,8621,-1.3981589078903198
1652832625.193423,8684,-1.1884225606918335
1652832753.935408,8712,-1.0351474285125732
1652832866.4148757,8735,-1.136016845703125
1652833332.7678726,8828,-1.6307140588760376
1652833599.8652966,8883,-1.5512281656265259
1652833876.516601,8945,-0.5250917077064514
1652834085.654286,8986,-0.8934656381607056
1652834117.7519271,8992,-1.1947375535964966
1652834317.2477133,9030,-1.8480502367019653
1652834706.0254748,9111,-1.1604881286621094
1652834880.6272514,9145,-1.2535827159881592
1652834919.3413677,9153,-1.2950847148895264
1652835038.3731246,9178,-1.608900547027588
1652835247.450831,9219,-1.7248586416244507
1652835337.3803864,9239,-1.4203331470489502
1652835453.1101959,9263,-1.4244078397750854
1652835549.625961,9281,-1.5717884302139282
1652835652.6314878,9301,-1.7035423517227173
1652835684.7633126,9307,-1.7697398662567139
1652836343.9300988,9440,-1.4650520086288452
1652836890.7529602,9550,-1.37456214427948
1652837399.4365802,9648,-1.6372365951538086
1652837540.844159,9680,-1.055747151374817
1652837573.0543752,9686,-1.1481326818466187
1652837647.1364944,9701,-1.0779526233673096
1652837689.0295465,9710,-1.138185739517212
1652838463.5157669,9867,-0.9632355570793152
1652838518.0715861,9880,-0.952666699886322
1652838711.029559,9920,-1.4156023263931274
1652838817.2926507,9941,-1.3840030431747437
1652838955.4772174,9968,-1.4105956554412842
1652839043.6795864,9987,-1.5330653190612793
1652839275.0366766,10017,-1.4876041412353516
1652839426.0288577,10048,-1.183501124382019
1652839586.902562,10082,-0.8822851777076721
1652840561.74296,10285,-1.0424071550369263
1652840603.5644915,10294,-1.0622433423995972
1652841012.4742875,10377,-1.2547588348388672
1652841321.0505245,10441,-1.0833382606506348
1652841356.3105454,10448,-1.0792468786239624
1652841471.9773073,10472,-1.1164158582687378
1652841545.9219656,10487,-1.166422963142395
1652841590.96911,10497,-0.9127856492996216
1652841909.2125275,10560,-1.1260000467300415
1652842201.712301,10623,-1.402533769607544
1652842752.0144873,10734,-1.2981643676757812
1652842793.8857825,10743,-1.1915124654769897
1652842929.005572,10773,-0.9110875725746155
1652843216.5164592,10834,-0.6180091500282288
1652843695.673285,10935,-0.9993341565132141
1652843879.0512483,10972,-0.9882485270500183
1652843908.018377,10977,-1.1571917533874512
1652843972.3112123,10989,-1.2565628290176392
1652844232.440042,11042,-1.4525834321975708
1652844476.8822649,11090,-1.3167883157730103
1652844508.9785094,11096,-1.34842050075531
1652844863.1464264,11170,-0.6808574795722961
1652845015.317295,11201,-0.7429819703102112
1652845098.885214,11219,-0.7009378671646118
1652845249.8792646,11250,-0.443684846162796
1652845564.8950396,11312,-1.2675174474716187
1652845831.9208653,11367,-1.5860280990600586
1652845870.5282469,11375,-1.578478217124939
1652846076.9431365,11419,-0.3911150395870209
1652846409.5919507,11490,-0.19098956882953644
1652846769.5930467,11566,-0.7308740019798279
1652846804.9775221,11573,-0.7571321725845337
1652846965.7055633,11607,-1.3581525087356567
1652847143.019957,11642,-1.4375053644180298
1652847265.008655,11668,-1.5011600255966187
1652847326.2410133,11679,-1.5414304733276367
1652847438.819886,11702,-1.629042625427246
1652847538.6391168,11721,-1.7056639194488525
1652847693.21726,11753,-1.6818715333938599
1652848011.2751558,11820,-0.9578797221183777
1652848314.2654924,11882,-0.8749046325683594
1652848455.7270465,11910,-1.5265933275222778
1652848594.1879182,11941,-1.1021901369094849
1652848629.4051569,11948,-1.1878702640533447
1652848854.4161124,11994,-0.8128730654716492
1652848899.4286892,12004,-0.7419664263725281
1652849198.5070322,12065,-0.9577046036720276
1652849359.0755584,12099,-1.2386175394058228
1652849397.8341482,12107,-1.3915657997131348
1652849446.2435107,12118,-1.225431203842163
1652849529.971263,12136,-1.0067719221115112
1652849629.6816187,12155,-1.1568137407302856
1652849893.4288754,12209,-1.0958926677703857
1652849922.3355036,12214,-1.1341347694396973
1652850256.6474397,12286,-0.3731822669506073
1652850298.4085407,12295,-0.35555365681648254
1652850635.9744549,12364,-1.4283591508865356
1652850809.8408883,12402,-1.1725659370422363
1652850899.9115374,12422,-0.774760901927948
1652851035.4932864,12452,-0.4619411528110504
1652851234.9354472,12494,-0.6708892583847046
1652851276.7686033,12503,-0.5940940976142883
1652851376.406003,12526,-0.5051130652427673
1652851411.7788982,12533,-0.7831850647926331
1652851447.048953,12540,-0.7979417443275452
1652851634.046798,12578,-0.6776336431503296
1652852200.7644596,12698,-0.6330971121788025
1652852554.411651,12772,-1.3443979024887085
1652852773.0446708,12816,-1.1803319454193115
1652853053.0353663,12875,-1.3633686304092407
1652853094.86017,12884,-1.263290524482727
1652853442.5278594,12956,-1.2343809604644775
1652853744.904869,13022,-0.5394152998924255
1652854112.1460896,13100,-0.5019891858100891
1652854240.6809876,13128,-0.8104982972145081
1652854533.3708875,13191,-0.24027106165885925
1652854610.6184356,13207,-0.12801910936832428
1652854745.8420057,13233,-0.6486063003540039
1652855115.5179071,13308,-1.4775350093841553
1652855150.756933,13315,-1.4239946603775024
1652855276.1321552,13342,-1.273962378501892
1652855478.912946,13385,-1.4014077186584473
1652855665.310841,13427,-1.0438309907913208
1652856150.9971473,13526,-1.4148943424224854
1652856218.4144974,13539,-1.5477172136306763
1652856260.1642408,13548,-1.4531382322311401
1652856527.5295281,13607,-0.7119201421737671
1652856582.0990396,13620,-0.4489888548851013
1652856620.6375685,13628,-0.34936708211898804
1652856707.4258811,13647,0.00833102036267519
1652857305.8951724,13777,-0.3553476631641388
1652857990.6975229,13918,-1.0509804487228394
1652858222.1384623,13966,-0.9044413566589355
1652858524.1849413,14032,-0.4571673274040222
1652858768.610477,14084,-0.8398358225822449
1652858926.478323,14117,-0.8931127190589905
1652859007.6938572,14134,-1.0773099660873413
1652859087.9300404,14151,-0.9599819183349609
1652859293.9282646,14191,-1.2086116075515747
1652859406.5252488,14214,-1.502150535583496
1652859477.2774248,14228,-1.5854997634887695
1652859605.8812263,14256,-0.7891230583190918
1652859747.2550673,14288,-0.5381811857223511
1652859872.7343872,14315,-0.20705750584602356
1652860232.8004556,14391,-0.7021371126174927
1652860319.6105483,14410,-0.9529134035110474
1652860811.7377203,14515,-0.3843068778514862
1652860847.2593353,14522,-0.3877200484275818
1652860889.087248,14531,-0.3535803258419037
1652861454.748508,14651,-0.3981459438800812
1652861628.9439406,14689,0.14549243450164795
1652861776.962771,14719,-0.3016248941421509
1652861950.6628156,14757,-0.32238897681236267
1652861989.2570362,14765,-1.1948766708374023
1652862101.6362665,14788,-1.1727603673934937
1652862182.0300376,14805,-1.0707556009292603
1652862268.893221,14824,-0.9200776815414429
1652862596.9842334,14894,-0.5038022398948669
1652862693.396225,14916,-0.35099849104881287
1652862809.0313175,14940,-0.288770467042923
1652862915.213496,14961,-0.5811768174171448
1652863015.022239,14980,-0.8864896297454834
